code,code_name,ipoDate,outDate,type,status
sh.600000,浦发银行,1999-11-10,,1,1
sh.600009,上海机场,1998-02-18,,1,1
sh.600010,包钢股份,2001-03-09,,1,1
sh.600011,华能国际,2001-12-06,,1,1
sh.600015,华夏银行,2003-09-12,,1,1
sh.600016,民生银行,2000-12-19,,1,1
sh.600018,上港集团,2006-10-26,,1,1
sh.600019,宝钢股份,2000-12-12,,1,1
sh.600025,华能水电,2017-12-15,,1,1
sh.600028,中国石化,2001-08-08,,1,1
sh.601012,隆基绿能,2012-04-11,,1,1
sh.600029,南方航空,2003-07-25,,1,1
sh.600030,中信证券,2003-01-06,,1,1
sh.600031,三一重工,2003-07-03,,1,1
sh.600036,招商银行,2002-04-09,,1,1
sh.600039,四川路桥,2003-03-25,,1,1
sh.600048,保利发展,2006-07-31,,1,1
sh.600050,中国联通,2002-10-09,,1,1
sh.600061,国投资本,1997-05-19,,1,1
sh.600085,同仁堂,1997-06-25,,1,1
sh.600089,特变电工,1997-06-18,,1,1
sh.600104,上汽集团,1997-11-25,,1,1
sh.600111,北方稀土,1997-09-24,,1,1
sh.600115,中国东航,1997-11-05,,1,1
sh.600132,重庆啤酒,1997-10-30,,1,1
sh.600150,中国船舶,1998-05-20,,1,1
sh.600176,中国巨石,1999-04-22,,1,1
sh.600183,生益科技,1998-10-28,,1,1
sh.600188,兖矿能源,1998-07-01,,1,1
sh.600196,复星医药,1998-08-07,,1,1
sh.600219,南山铝业,1999-12-23,,1,1
sh.600233,圆通速递,2000-06-08,,1,1
sh.600276,恒瑞医药,2000-10-18,,1,1
sh.600309,万华化学,2001-01-05,,1,1
sh.600332,白云山,2001-02-06,,1,1
sh.600346,恒力石化,2001-08-20,,1,1
sh.600362,江西铜业,2002-01-11,,1,1
sh.600383,金地集团,2001-04-12,,1,1
sh.600406,国电南瑞,2003-10-16,,1,1
sh.600426,华鲁恒升,2002-06-20,,1,1
sh.600436,片仔癀,2003-06-16,,1,1
sh.600438,通威股份,2004-03-02,,1,1
sh.600460,士兰微,2003-03-11,,1,1
sh.600519,贵州茅台,2001-08-27,,1,1
sh.600547,山东黄金,2003-08-28,,1,1
sh.600570,恒生电子,2003-12-16,,1,1
sh.600584,长电科技,2003-06-03,,1,1
sh.600585,海螺水泥,2002-02-07,,1,1
sh.600588,用友网络,2001-05-18,,1,1
sh.600600,青岛啤酒,1993-08-27,,1,1
sh.600606,绿地控股,1992-03-27,,1,1
sh.600660,福耀玻璃,1993-06-10,,1,1
sh.600674,川投能源,1993-09-24,,1,1
sh.600690,海尔智家,1993-11-19,,1,1
sh.600741,华域汽车,1996-08-26,,1,1
sh.600745,闻泰科技,1996-08-28,,1,1
sh.600760,中航沈飞,1996-10-11,,1,1
sh.600763,通策医疗,1996-10-30,,1,1
sh.600795,国电电力,1997-03-18,,1,1
sh.600803,新奥股份,1994-01-03,,1,1
sh.600809,山西汾酒,1994-01-06,,1,1
sh.600837,海通证券,1994-02-24,,1,1
sh.600845,宝信软件,1994-03-11,,1,1
sh.600884,杉杉股份,1996-01-30,,1,1
sh.600886,国投电力,1996-01-18,,1,1
sh.600887,伊利股份,1996-03-12,,1,1
sh.600893,航发动力,1996-04-08,,1,1
sh.600900,长江电力,2003-11-18,,1,1
sh.600905,三峡能源,2021-06-10,,1,1
sh.600918,中泰证券,2020-06-03,,1,1
sh.600919,江苏银行,2016-08-02,,1,1
sh.600926,杭州银行,2016-10-27,,1,1
sh.600941,中国移动,2022-01-05,,1,1
sh.600958,东方证券,2015-03-23,,1,1
sh.600989,宝丰能源,2019-05-16,,1,1
sh.600999,招商证券,2009-11-17,,1,1
sh.601006,大秦铁路,2006-08-01,,1,1
sh.601009,南京银行,2007-07-19,,1,1
sh.601021,春秋航空,2015-01-21,,1,1
sh.601066,中信建投,2018-06-20,,1,1
sh.601088,中国神华,2007-10-09,,1,1
sh.601100,恒立液压,2011-10-28,,1,1
sh.601111,中国国航,2006-08-18,,1,1
sh.601117,中国化学,2010-01-07,,1,1
sh.601138,工业富联,2018-06-08,,1,1
sh.601155,新城控股,2015-12-04,,1,1
sh.601166,兴业银行,2007-02-05,,1,1
sh.601169,北京银行,2007-09-19,,1,1
sh.601186,中国铁建,2008-03-10,,1,1
sh.601211,国泰君安,2015-06-26,,1,1
sh.601216,君正集团,2011-02-22,,1,1
sh.601225,陕西煤业,2014-01-28,,1,1
sh.601229,上海银行,2016-11-16,,1,1
sh.601236,红塔证券,2019-07-05,,1,1
sh.601238,广汽集团,2012-03-29,,1,1
sh.601288,农业银行,2010-07-15,,1,1
sh.601318,中国平安,2007-03-01,,1,1
sh.601319,中国人保,2018-11-16,,1,1
sh.601328,交通银行,2007-05-15,,1,1
sh.601336,新华保险,2011-12-16,,1,1
sh.601360,三六零,2012-01-16,,1,1
sh.601377,兴业证券,2010-10-13,,1,1
sh.601390,中国中铁,2007-12-03,,1,1
sh.601398,工商银行,2006-10-27,,1,1
sh.601600,中国铝业,2007-04-30,,1,1
sh.601601,中国太保,2007-12-25,,1,1
sh.601615,明阳智能,2019-01-23,,1,1
sh.601618,中国中冶,2009-09-21,,1,1
sh.601628,中国人寿,2007-01-09,,1,1
sh.601633,长城汽车,2011-09-28,,1,1
sh.601658,邮储银行,2019-12-10,,1,1
sh.601668,中国建筑,2009-07-29,,1,1
sh.601669,中国电建,2011-10-18,,1,1
sh.601688,华泰证券,2010-02-26,,1,1
sh.601689,拓普集团,2015-03-19,,1,1
sh.601698,中国卫通,2019-06-28,,1,1
sh.601728,中国电信,2021-08-20,,1,1
sh.601766,中国中车,2008-08-18,,1,1
sh.601788,光大证券,2009-08-18,,1,1
sh.601799,星宇股份,2011-02-01,,1,1
sh.601800,中国交建,2012-03-09,,1,1
sh.601808,中海油服,2007-09-28,,1,1
sh.601816,京沪高铁,2020-01-16,,1,1
sh.601818,光大银行,2010-08-18,,1,1
sh.601838,成都银行,2018-01-31,,1,1
sh.601857,中国石油,2007-11-05,,1,1
sh.601865,福莱特,2019-02-15,,1,1
sh.601868,中国能建,2021-09-28,,1,1
sh.601877,正泰电器,2010-01-21,,1,1
sh.601878,浙商证券,2017-06-26,,1,1
sh.601881,中国银河,2017-01-23,,1,1
sh.601888,中国中免,2009-10-15,,1,1
