code,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,pubDate,statDate
bj.430017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430090,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430198,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430300,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430418,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430476,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430510,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.430718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830799,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830809,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830832,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830879,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830896,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830946,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.830974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831370,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831526,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831641,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831726,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831832,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831834,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831856,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831906,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.831961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832149,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832171,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832491,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832802,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832876,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.832982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833171,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833230,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833346,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833394,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833454,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833509,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833523,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
bj.833580,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
